"date","longname","stat_entries","stat_total_pages","stat_total_bytes","stat_total_pct"
"2020-11-03T11:24:18","IncarnationMapBucket","0","0","0","0.0"
"2020-11-03T11:24:18","TxLookupPrefix","0","0","0","0.0"
"2020-11-03T11:24:18","Log","0","0","0","0.0"
"2020-11-03T11:24:18","LogAddressIndex","0","0","0","0.0"
"2020-11-03T11:24:18","LogTopicIndex","0","0","0","0.0"
"2020-11-03T11:24:18","Migrations","11","1","4096","100.0"
"2020-11-03T11:24:18","BlockReceiptsPrefix","1","1","4096","100.0"
"2020-11-03T11:24:18","PreImagePrefix","0","0","0","0.0"
"2020-11-03T11:24:18","Senders","0","0","0","0.0"
"2020-11-03T11:29:18","Free DBI","2","1","4096","100.0"
"2020-11-03T11:29:18","Main DBI","39","1","4096","100.0"
"2020-11-03T11:29:19","AccountChangeSetBucket","0","0","0","0.0"
"2020-11-03T11:29:19","BloomBitsPrefix","0","0","0","0.0"
"2020-11-03T11:29:19","CodeBucket","0","0","0","0.0"
"2020-11-03T11:29:19","CurrentStateBucket","0","0","0","0.0"
"2020-11-03T11:29:19","DatabaseInfoBucket","4","1","4096","100.0"
"2020-11-03T11:29:19","databaseVerisionKey","1","1","4096","100.0"
"2020-11-03T11:29:19","HeaderNumberPrefix","879","17","69632","100.0"
"2020-11-03T11:29:19","HeadBlockKey","1","1","4096","100.0"
"2020-11-03T11:29:19","HeadFastBlockKey","1","1","4096","100.0"
"2020-11-03T11:29:20","HeadHeaderKey","1","1","4096","100.0"
"2020-11-03T11:29:20","PlainAccountChangeSetBucket","1","54","221184","100.0"
"2020-11-03T11:29:20","PlainStateBucket","8893","94","385024","100.0"
"2020-11-03T11:29:20","PlainStorageChangeSetBucket","0","0","0","0.0"
"2020-11-03T11:29:20","PlainContractCodeBucket","0","0","0","0.0"
"2020-11-03T11:29:20","StorageChangeSetBucket","0","0","0","0.0"
"2020-11-03T11:29:21","SnapshotInfoBucket","0","0","0","0.0"
"2020-11-03T11:29:21","SyncStageProgress","4","1","4096","100.0"
"2020-11-03T11:29:21","SyncStageUnwind","3","1","4096","100.0"
"2020-11-03T11:29:21","FastTrieProgressKey","0","0","0","0.0"
"2020-11-03T11:29:21","BlockBodyPrefix","1","1","4096","100.0"
"2020-11-03T11:29:21","CallFromIndex","0","0","0","0.0"
"2020-11-03T11:29:21","CallToIndex","0","0","0","0.0"
"2020-11-03T11:29:21","CliqueBucket","0","0","0","0.0"
"2020-11-03T11:29:22","ContractCodeBucket","0","0","0","0.0"
"2020-11-03T11:29:22","ConfigPrefix","1","1","4096","100.0"
"2020-11-03T11:29:22","HeaderPrefix","16737987","1042567","4270354432","100.0"
"2020-11-03T11:29:22","AccountHistoryBucket","8893","113","462848","100.0"
"2020-11-03T11:29:22","StorageHistoryBucket","0","0","0","0.0"
"2020-11-03T11:29:22","BloomBitsIndexprefix","0","0","0","0.0"
"2020-11-03T11:29:22","IntermediateTrieHashBucket","0","0","0","0.0"
"2020-11-03T11:29:22","IncarnationMapBucket","0","0","0","0.0"
"2020-11-03T11:29:22","TxLookupPrefix","0","0","0","0.0"
"2020-11-03T11:29:22","Log","0","0","0","0.0"
"2020-11-03T11:29:22","LogAddressIndex","0","0","0","0.0"
"2020-11-03T11:29:22","LogTopicIndex","0","0","0","0.0"
"2020-11-03T11:29:22","Migrations","11","1","4096","100.0"
"2020-11-03T11:29:22","BlockReceiptsPrefix","1","1","4096","100.0"
"2020-11-03T11:29:22","PreImagePrefix","0","0","0","0.0"
"2020-11-03T11:29:22","Senders","0","0","0","0.0"
"2020-11-03T11:34:22","Free DBI","2","1","4096","100.0"
"2020-11-03T11:34:23","Main DBI","39","1","4096","100.0"
"2020-11-03T11:34:23","AccountChangeSetBucket","0","0","0","0.0"
"2020-11-03T11:34:23","BloomBitsPrefix","0","0","0","0.0"
"2020-11-03T11:34:23","CodeBucket","0","0","0","0.0"
"2020-11-03T11:34:23","CurrentStateBucket","0","0","0","0.0"
"2020-11-03T11:34:23","DatabaseInfoBucket","4","1","4096","100.0"
"2020-11-03T11:34:23","databaseVerisionKey","1","1","4096","100.0"
"2020-11-03T11:34:24","HeaderNumberPrefix","987","17","69632","100.0"
"2020-11-03T11:34:24","HeadBlockKey","1","1","4096","100.0"
"2020-11-03T11:34:24","HeadFastBlockKey","1","1","4096","100.0"
"2020-11-03T11:34:24","HeadHeaderKey","1","1","4096","100.0"
"2020-11-03T11:34:24","PlainAccountChangeSetBucket","1","54","221184","100.0"
"2020-11-03T11:34:24","PlainStateBucket","8893","94","385024","100.0"
"2020-11-03T11:34:25","PlainStorageChangeSetBucket","0","0","0","0.0"
"2020-11-03T11:34:25","PlainContractCodeBucket","0","0","0","0.0"
"2020-11-03T11:34:25","StorageChangeSetBucket","0","0","0","0.0"
"2020-11-03T11:34:25","SnapshotInfoBucket","0","0","0","0.0"
"2020-11-03T11:34:25","SyncStageProgress","4","1","4096","100.0"
"2020-11-03T11:34:25","SyncStageUnwind","3","1","4096","100.0"
"2020-11-03T11:34:25","FastTrieProgressKey","0","0","0","0.0"
"2020-11-03T11:34:25","BlockBodyPrefix","1","1","4096","100.0"
"2020-11-03T11:34:25","CallFromIndex","0","0","0","0.0"
"2020-11-03T11:34:25","CallToIndex","0","0","0","0.0"
"2020-11-03T11:34:25","CliqueBucket","0","0","0","0.0"
"2020-11-03T11:34:25","ContractCodeBucket","0","0","0","0.0"
"2020-11-03T11:34:25","ConfigPrefix","1","1","4096","100.0"
"2020-11-03T11:34:25","HeaderPrefix","19391619","1206780","4942970880","100.0"
"2020-11-03T11:34:25","AccountHistoryBucket","8893","113","462848","100.0"
"2020-11-03T11:34:25","StorageHistoryBucket","0","0","0","0.0"
"2020-11-03T11:34:25","BloomBitsIndexprefix","0","0","0","0.0"
"2020-11-03T11:34:25","IntermediateTrieHashBucket","0","0","0","0.0"
"2020-11-03T11:34:25","IncarnationMapBucket","0","0","0","0.0"
"2020-11-03T11:34:25","TxLookupPrefix","0","0","0","0.0"
"2020-11-03T11:34:25","Log","0","0","0","0.0"
"2020-11-03T11:34:25","LogAddressIndex","0","0","0","0.0"
"2020-11-03T11:34:25","LogTopicIndex","0","0","0","0.0"
"2020-11-03T11:34:25","Migrations","11","1","4096","100.0"
"2020-11-03T11:34:25","BlockReceiptsPrefix","1","1","4096","100.0"
"2020-11-03T11:34:25","PreImagePrefix","0","0","0","0.0"
"2020-11-03T11:34:25","Senders","0","0","0","0.0"
"2020-11-03T11:39:25","Free DBI","2","1","4096","100.0"
"2020-11-03T11:39:26","Main DBI","39","1","4096","100.0"
"2020-11-03T11:39:26","AccountChangeSetBucket","0","0","0","0.0"
"2020-11-03T11:39:26","BloomBitsPrefix","0","0","0","0.0"
"2020-11-03T11:39:26","CodeBucket","0","0","0","0.0"
"2020-11-03T11:39:26","CurrentStateBucket","0","0","0","0.0"
"2020-11-03T11:39:26","DatabaseInfoBucket","4","1","4096","100.0"
"2020-11-03T11:39:26","databaseVerisionKey","1","1","4096","100.0"
"2020-11-03T11:39:27","HeaderNumberPrefix","1092","19","77824","100.0"
"2020-11-03T11:39:27","HeadBlockKey","1","1","4096","100.0"
"2020-11-03T11:39:27","HeadFastBlockKey","1","1","4096","100.0"
"2020-11-03T11:39:27","HeadHeaderKey","1","1","4096","100.0"
"2020-11-03T11:39:27","PlainAccountChangeSetBucket","1","54","221184","100.0"
"2020-11-03T11:39:27","PlainStateBucket","8893","94","385024","100.0"
"2020-11-03T11:39:27","PlainStorageChangeSetBucket","0","0","0","0.0"
"2020-11-03T11:39:27","PlainContractCodeBucket","0","0","0","0.0"
"2020-11-03T11:39:27","StorageChangeSetBucket","0","0","0","0.0"
"2020-11-03T11:39:27","SnapshotInfoBucket","0","0","0","0.0"
"2020-11-03T11:39:27","SyncStageProgress","4","1","4096","100.0"
"2020-11-03T11:39:27","SyncStageUnwind","3","1","4096","100.0"
"2020-11-03T11:39:27","FastTrieProgressKey","0","0","0","0.0"
"2020-11-03T11:39:27","BlockBodyPrefix","1","1","4096","100.0"
"2020-11-03T11:39:27","CallFromIndex","0","0","0","0.0"
"2020-11-03T11:39:27","CallToIndex","0","0","0","0.0"
"2020-11-03T11:39:27","CliqueBucket","0","0","0","0.0"
"2020-11-03T11:39:27","ContractCodeBucket","0","0","0","0.0"
"2020-11-03T11:39:27","ConfigPrefix","1","1","4096","100.0"
"2020-11-03T11:39:27","HeaderPrefix","21971523","1366998","5599223808","100.0"
"2020-11-03T11:39:27","AccountHistoryBucket","8893","113","462848","100.0"
"2020-11-03T11:39:27","StorageHistoryBucket","0","0","0","0.0"
"2020-11-03T11:39:27","BloomBitsIndexprefix","0","0","0","0.0"
"2020-11-03T11:39:27","IntermediateTrieHashBucket","0","0","0","0.0"
"2020-11-03T11:39:27","IncarnationMapBucket","0","0","0","0.0"
"2020-11-03T11:39:27","TxLookupPrefix","0","0","0","0.0"
"2020-11-03T11:39:27","Log","0","0","0","0.0"
"2020-11-03T11:39:27","LogAddressIndex","0","0","0","0.0"
"2020-11-03T11:39:27","LogTopicIndex","0","0","0","0.0"
"2020-11-03T11:39:27","Migrations","11","1","4096","100.0"
"2020-11-03T11:39:27","BlockReceiptsPrefix","1","1","4096","100.0"
"2020-11-03T11:39:27","PreImagePrefix","0","0","0","0.0"
"2020-11-03T11:39:27","Senders","0","0","0","0.0"
"2020-11-03T11:44:27","Free DBI","2","1","4096","100.0"
"2020-11-03T11:44:27","Main DBI","39","1","4096","100.0"
"2020-11-03T11:44:27","AccountChangeSetBucket","0","0","0","0.0"
"2020-11-03T11:44:28","BloomBitsPrefix","0","0","0","0.0"
"2020-11-03T11:44:28","CodeBucket","0","0","0","0.0"
"2020-11-03T11:44:28","CurrentStateBucket","0","0","0","0.0"
"2020-11-03T11:44:28","DatabaseInfoBucket","4","1","4096","100.0"
"2020-11-03T11:44:28","databaseVerisionKey","1","1","4096","100.0"
"2020-11-03T11:44:28","HeaderNumberPrefix","1195","23","94208","100.0"
"2020-11-03T11:44:29","HeadBlockKey","1","1","4096","100.0"
"2020-11-03T11:44:29","HeadFastBlockKey","1","1","4096","100.0"
"2020-11-03T11:44:29","HeadHeaderKey","1","1","4096","100.0"
"2020-11-03T11:44:29","PlainAccountChangeSetBucket","1","54","221184","100.0"
"2020-11-03T11:44:29","PlainStateBucket","8893","94","385024","100.0"
"2020-11-03T11:44:29","PlainStorageChangeSetBucket","0","0","0","0.0"
